94760	 MEASURE BLOOD OXYGEN LEVEL 
E0574	 ULTRASONIC GENERATOR W SVNEB 
E0575	 NEBULIZER ULTRASONIC 
E0580	 Nebulizer, durable, glass or autoclavable plastic, bottle type, for use with regulator or flowmeter 
E0585	 NEBULIZER W/ COMPRESSOR & HE 
E0600	 SUCTION PUMP PORTAB HOM MODL 
E0601	 CONT AIRWAY PRESSURE DEVICE 
E0605	 VAPORIZER ROOM TYPE 
E0606	 DRAINAGE BOARD POSTURAL 
E0618	 APNEA MONITOR 
E0619	 APNEA MONITOR, WITH RECORDING FEATURE 
E0621	 PATIENT LIFT SLING OR SEAT 
E0627	 SEAT LIFT INCORP LIFT-CHAIR 
E0628	 SEAT LIFT FOR PT FURN-ELECTR 
E0629	 SEAT LIFT FOR PT FURN-NON-EL 
E0630	 PATIENT LIFT HYDRAULIC 
E0635	 PATIENT LIFT ELECTRIC 
E0636	 PT SUPPORT & POSITIONING SYS 
E0637	 COMBINATION SIT TO STAND SYS 
E0642	 DYNAMIC STANDING FRAME 
E0650	 PNEUMA COMPRESOR NON-SEGMENT 
E0651	 PNEUM COMPRESSOR SEGMENTAL 
E0652	 PNEUM COMPRES W/CAL PRESSURE 
E0655	 PNEUMATIC APPLIANCE HALF ARM 
E0656	 SEGMENTAL PNEUMATIC TRUNK 
E0657	 SEGMENTAL PNEUMATIC CHEST 
E0660	 PNEUMATIC APPLIANCE FULL LEG 
E0665	 PNEUMATIC APPLIANCE FULL ARM 
E0666	 PNEUMATIC APPLIANCE HALF LEG 
E0667	 SEG PNEUMATIC APPL FULL LEG 
E0668	 SEG PNEUMATIC APPL FULL ARM 
E0669	 SEG PNEUMATIC APPLI HALF LEG 
E0670	 SEG PNEUM INT LEGS/TRUNK 
E0671	 PRESSURE PNEUM APPL FULL LEG 
E0672	 PRESSURE PNEUM APPL FULL ARM 
E0673	 PRESSURE PNEUM APPL HALF LEG 
E0675	 PNEUMATIC COMPRESSION DEVICE 
E0705	 TRANSFER DEVICE 
E0710	 RESTRAINTS ANY TYPE 
E0720	 TENS TWO LEAD 
E0730	 TENS FOUR LEAD 
E0731	 Conductive garment for tens/ 
E0744	 NEUROMUSCULAR STIM FOR SCOLI 
E0745	 NEUROMUSCULAR STIM FOR SHOCK 
E0747	 ELEC OSTEOGEN STIM NOT SPINE 
E0748	 ELEC OSTEOGEN STIM SPINAL 
E0760	 OSTEOGEN ULTRASOUND STIMLTOR 
E0762	 Trans elec jt stim dev sys 
E0764	 FUNCTIONAL NEUROMUSCULARSTIM 
E0765	 NERVE STIMULATOR FOR TX N&V 
E0766	 ELEC STIM CANCER TREATMENT 
E0770	 FUNCTIONAL ELECTRIC STIM NOS 
E0776	 IV POLE 
E0779	 Amb infusion pump mechanical 
E0780	 Mech amb infusion pump <8hrs 
E0781	 External ambulatory infus pu 
E0782	 Non-programble infusion pump 
E0783	 Programmable infusion pump 
E0791	 Parenteral infusion pump sta 
E0840	 TRACT FRAME ATTACH HEADBOARD 
E0849	 CERVICAL PNEUM TRAC EQUIP 
E0850	 TRACTION STAND FREE STANDING 
E0855	 CERVICAL TRACTION EQUIPMENT 
E0856	 CERVIC COLLAR W AIR BLADDER 
E0860	 TRACT EQUIP CERVICAL TRACT 
E0870	 TRACT FRAME ATTACH FOOTBOARD 
E0880	 TRAC STAND FREE STAND EXTREM 
E0890	 TRACTION FRAME ATTACH PELVIC 
E0900	 TRAC STAND FREE STAND PELVIC 
E0910	 TRAPEZE BAR ATTACHED TO BED 
E0911	 HD TRAPEZE BAR ATTACH TO BED 
E0912	 HD TRAPEZE BAR FREE STANDING 
E0920	 FRACTURE FRAME ATTACHED TO B 
E0930	 FRACTURE FRAME FREE STANDING 
E0935	 CONT PAS MOTION EXERCISE DEV 
E0940	 TRAPEZE BAR FREE STANDING 
E0941	 GRAVITY ASSISTED TRACTION DE 
E0942	 Cervical head harness/halter 
E0944	 Pelvic belt/harness/boot 
E0945	 Belt/harness extremity 
E0946	 Fracture frame dual w cross 
E0947	 Fracture frame attachmnts pe 
E0948	 Fracture frame attachmnts ce 
E0950	 Tray 
E0951	 Loop heel 
E0952	 Toe loop/holder, each 
E0955	 Cushioned headrest 
E0956	 W/c lateral trunk/hip suppor 
E0957	 W/c medial thigh support 
E0958	 Whlchr att- conv 1 arm drive 
E0959	 Amputee adapter 
E0960	 W/c shoulder harness/straps 
E0961	 Wheelchair brake extension 
E0966	 Wheelchair head rest extensi 
E0967	 Manual wc hand rim w project 
E0968	 Wheelchair commode seat 
E0969	 Wheelchair narrowing device 
E0971	 Wheelchair anti-tipping devi 
E0973	 W/ch access det adj armrest 
E0974	 W/ch access anti-rollback 
E0977	 WEDGE CUSHION, WHEELCHAIR 
E0978	 W/c acc,saf belt pelv strap 
E0980	 Wheelchair safety vest 
E0981	 Seat upholstery, replacement 
E0982	 Back upholstery, replacement 
